NAME	TITLE	SCORE	
PTGDS	na	0.30055392	
RGS2	na	0.3003561	
POLA1	na	0.30014724	
PITX1	na	0.30004862	
DCLRE1A	na	0.29943037	
H2AFZ	na	0.29886833	
CRYBB2	na	0.2983932	
DBF4	na	0.29778302	
IGF1	na	0.2973074	
SHROOM2	na	0.29717353	
TIMELESS	na	0.29692015	
COL5A2	na	0.29646775	
MN1	na	0.29591206	
NAP1L3	na	0.29558554	
C13orf1	na	0.29515275	
DTYMK	na	0.29479975	
MLC1	na	0.2945217	
ACP2	na	0.2941004	
ICMT	na	0.29400498	
LIG1	na	0.2932639	
TMEM194A	na	0.29300374	
COBLL1	na	0.2927433	
GALK1	na	0.2923082	
CD3G	na	0.29196885	
SOX9	na	0.29187065	
SNAP23	na	0.29167008	
XPNPEP1	na	0.29140478	
CDK2AP1	na	0.29129875	
SLC25A4	na	0.29121256	
PLK1	na	0.29057845	
PARP2	na	0.28938392	
SGCE	na	0.28911996	
ADAM11	na	0.28887445	
POFUT1	na	0.2884188	
CD8B	na	0.28773138	
CETN3	na	0.2873906	
TNFSF9	na	0.28714743	
PRELP	na	0.2870006	
MTF2	na	0.28673863	
MNAT1	na	0.28653944	
BTN1A1	na	0.28641155	
RND3	na	0.2859518	
PODXL	na	0.28556788	
AOAH	na	0.2852341	
SAR1A	na	0.28516734	
HN1L	na	0.28508562	
NDUFS6	na	0.2850595	
MSH2	na	0.28447512	
POU1F1	na	0.284464	
DCK	na	0.28437883	
HIRIP3	na	0.2842122	
SLC43A1	na	0.28400955	
ZFY	na	0.2839395	
C10orf10	na	0.28338155	
PSMD14	na	0.2826705	
VGLL4	na	0.28266436	
FUCA1	na	0.28243598	
FOLR2	na	0.28208172	
PTS	na	0.28165117	
CFB	na	0.28162184	
GPC1	na	0.28122556	
SMTN	na	0.2810239	
ADAMDEC1	na	0.28100926	
DDR2	na	0.28012523	
AGPS	na	0.28012094	
RFC4	na	0.27986637	
ZNF33B	na	0.2792753	
KDM1A	na	0.27834648	
KRAS	na	0.27828577	
FABP5	na	0.2763682	
MAP4K4	na	0.27623183	
EGR1	na	0.2761516	
SPAG1	na	0.27587885	
MDM2	na	0.27564397	
CLIC4	na	0.2754633	
DBI	na	0.27525932	
SRPK1	na	0.27511024	
KIF3A	na	0.2749028	
BLM	na	0.27450803	
NEFH	na	0.27351296	
LYZL6	na	0.2732414	
PTGIR	na	0.27299643	
CXCL9	na	0.27282664	
B4GALT2	na	0.2726339	
KCND2	na	0.27258193	
SRD5A1	na	0.27220336	
ISG20	na	0.271717	
RPA1	na	0.2715088	
MPO	na	0.27143562	
SNAPC1	na	0.27113515	
MLLT10	na	0.2708891	
ARHGAP19	na	0.27069452	
RBBP4	na	0.27064493	
TAF1B	na	0.270346	
HAT1	na	0.26978514	
TKT	na	0.2697423	
BTF3	na	0.26947168	
IL1RN	na	0.26843047	
ICT1	na	0.2681183	
ST20	na	0.26809016	
GRSF1	na	0.26770914	
SMS	na	0.26748195	
PMPCB	na	0.26739037	
H2AFV	na	0.26719785	
IPO5	na	0.2671223	
SLC25A13	na	0.26677862	
CDK19	na	0.2666884	
RABGAP1	na	0.2665465	
SLC25A16	na	0.2655194	
NFYB	na	0.26548728	
PFKFB3	na	0.26525268	
TRIM24	na	0.26433492	
PPPDE1	na	0.26352653	
RCAN2	na	0.26335794	
CXCL12	na	0.2631072	
PIK3CG	na	0.2630522	
RPE	na	0.26249853	
WIF1	na	0.2624337	
CTH	na	0.26230508	
SMAD2	na	0.26209304	
OLR1	na	0.26197076	
CPSF6	na	0.26179007	
GALE	na	0.2617135	
UBR5	na	0.26152334	
UNC13B	na	0.26143193	
BDKRB2	na	0.26116085	
HADH	na	0.2611596	
E2F5	na	0.26099533	
ATP1B1	na	0.26095355	
ACADM	na	0.26029402	
GP1BA	na	0.26011795	
SHFM1	na	0.25987062	
COMMD4	na	0.2591127	
GAS1	na	0.25896347	
HARS	na	0.2576659	
FLOT1	na	0.25699425	
TRIM14	na	0.25696802	
PRKCD	na	0.2560742	
AMFR	na	0.25590253	
HSD17B6	na	0.25551438	
RPA3	na	0.25471875	
TRIM32	na	0.2542464	
TGFBR3	na	0.25384724	
ATP2A2	na	0.2537091	
GNAZ	na	0.25366628	
CD4	na	0.25341997	
LRRC23	na	0.25314963	
ACTL6A	na	0.2529582	
CCL11	na	0.2527856	
MMP20	na	0.2523809	
TNNI1	na	0.25225347	
PDK3	na	0.25196028	
MCM3	na	0.25195518	
GPD1L	na	0.2511853	
B3GNT1	na	0.25112236	
ITGAV	na	0.25098643	
DNAJC9	na	0.2504695	
R3HDM1	na	0.25042945	
SEPT10	na	0.25035873	
ATP5B	na	0.25020495	
ACTC1	na	0.24991842	
RGS10	na	0.24989216	
CLIP2	na	0.24951968	
PARN	na	0.24868917	
CACNB4	na	0.2483488	
TFRC	na	0.24815524	
UCHL3	na	0.24805121	
PRIM1	na	0.24780275	
BRP44	na	0.24671282	
PCM1	na	0.24646044	
ILF3	na	0.24585535	
PSMG1	na	0.24578975	
IRF8	na	0.2457261	
RQCD1	na	0.2454223	
MBD2	na	0.24535207	
EPS15	na	0.24519439	
RGS3	na	0.24508938	
PLXNB2	na	0.24504995	
MYL1	na	0.24496992	
SH2B2	na	0.24482118	
IER3	na	0.24451445	
USP6NL	na	0.24361554	
RIMS3	na	0.24322401	
TRAIP	na	0.24310675	
MRPS31	na	0.24250989	
MTMR2	na	0.24220784	
ACOT13	na	0.24189661	
POLD3	na	0.24154882	
GPR64	na	0.24122107	
GNAQ	na	0.24117866	
CCND3	na	0.2409474	
AQP3	na	0.2408793	
GPC3	na	0.24052118	
BLMH	na	0.24008164	
GOT2	na	0.23984458	
RRBP1	na	0.23973571	
ITGBL1	na	0.23950015	
VCL	na	0.23940854	
SRSF1	na	0.23899314	
LTF	na	0.23884825	
SOCS1	na	0.2386563	
VCAM1	na	0.23848334	
LNPEP	na	0.23824324	
CASP3	na	0.23817666	
BCAS1	na	0.23817314	
COQ9	na	0.23809753	
USP1	na	0.23795117	
ACAA2	na	0.23771365	
PLEK	na	0.2375071	
CSTF2	na	0.23701984	
TMPRSS15	na	0.2368433	
STAB1	na	0.23679306	
MRPS27	na	0.2363932	
RWDD2A	na	0.23593579	
CSF2	na	0.23589872	
KIF5B	na	0.23524639	
CXCL1	na	0.2349737	
TOP1	na	0.23446415	
COL3A1	na	0.23439023	
PLAG1	na	0.234272	
IL6ST	na	0.23414612	
NFIL3	na	0.23394564	
ANAPC10	na	0.23378341	
IFT27	na	0.23374446	
FGF13	na	0.23290251	
BPHL	na	0.23247284	
RSAD2	na	0.2322596	
